measured,configuration,brute_force,brute_force_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"true","[SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, SKIPUPSCALING, CREATEMIPMAPINSTEADOFDRAWABLEDIR, COMPRESSQUALITY, ENABLEANTIALIASING, ROUNDINGHANDLER, CLEARDIRBEFORECONVERT, GUIADVANCEDOPTIONS]",3.756,0,3.771,0.018,3.742,3.8,true,0.015,0.004,0
"true","[OUTPUTCOMPRESSIONGMODE, GUIADVANCEDOPTIONS]",181.775,0,181.694,1.378,179.502,183.887,true,0.081,0,0.007
"true","[SCALEISHEIGHTDP, VERBOSELOG]",56.593,0,56.889,0.334,56.358,57.42,true,0.296,0.005,0.088
"true","[PLATFORM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, SKIPUPSCALING, CREATEMIPMAPINSTEADOFDRAWABLEDIR, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, ENABLEANTIALIASING, SCALEMODE, SCALE, GUIADVANCEDOPTIONS]",14.627,0,14.531,0.152,14.29,14.772,true,0.096,0.007,0.009
"true","[POSTCONVERTWEBP, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, SCALEISHEIGHTDP, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, VERBOSELOG, ENABLEANTIALIASING, SCALE, IOSCREATEIMAGESETFOLDERS]",20.849,0,20.709,0.251,20.31,21.108,true,0.14,0.007,0.02
"true","[INCLUDEANDROIDLDPITVDPI, OUTPUTCOMPRESSIONGMODE]",201.47,0,196.981,0.618,195.998,197.964,false,4.489,0.023,20.151
"true","[ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, VERBOSELOG, ENABLEANTIALIASING, SCALEMODE, CLEARDIRBEFORECONVERT]",4.364,0,4.421,0.116,4.236,4.606,true,0.057,0.013,0.003
"true","[ENABLEMOZJPEG, DOWNSCALINGALGORITHM]",57.113,0,56.764,0.935,55.277,58.251,true,0.349,0.006,0.122
"true","[POSTCONVERTWEBP, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, VERBOSELOG, SCALEMODE, ROUNDINGHANDLER, SCALE, IOSCREATEIMAGESETFOLDERS]",8.354,0,8.383,0.027,8.339,8.426,true,0.029,0.003,0.001
"true","[POSTCONVERTWEBP, ENABLEPNGCRUSH, ENABLEMOZJPEG, COMPRESSQUALITY, SCALEMODE, SCALE]",3.96,0,4.042,0.042,3.975,4.109,false,0.082,0.02,0.007
"true","[POSTCONVERTWEBP, ENABLEPNGCRUSH, CREATEMIPMAPINSTEADOFDRAWABLEDIR, VERBOSELOG, IOSCREATEIMAGESETFOLDERS, GUIADVANCEDOPTIONS]",55.985,0,56.984,0.223,56.628,57.339,false,0.999,0.018,0.998
"true","[POSTCONVERTWEBP, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, GUIADVANCEDOPTIONS, PLATFORM, SCALEISHEIGHTDP, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, VERBOSELOG, ENABLEANTIALIASING, SCALEMODE, ROUNDINGHANDLER, IOSCREATEIMAGESETFOLDERS]",2.321,0,2.32,0.002,2.316,2.324,true,0.001,0,0
"true","[ENABLEPNGCRUSH, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY]",178.071,0,175.869,1.37,173.689,178.05,false,2.202,0.013,4.849
"true","[KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, ENABLEMOZJPEG, ENABLEANTIALIASING, SCALEMODE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT, GUIADVANCEDOPTIONS]",2.416,0,2.398,0.015,2.374,2.422,true,0.018,0.008,0
"true","[SCALEISHEIGHTDP, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, ENABLEPNGCRUSH, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, VERBOSELOG, ROUNDINGHANDLER, GUIADVANCEDOPTIONS]",175.964,0,177.336,1.739,174.569,180.103,true,1.372,0.008,1.882
"true","[PLATFORM, ROUNDINGHANDLER]",109.687,0,109.337,0.328,108.815,109.859,true,0.35,0.003,0.122
"true","[POSTCONVERTWEBP, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, ENABLEANTIALIASING, SCALEMODE, ROUNDINGHANDLER, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",5.822,0,5.756,0.112,5.577,5.935,true,0.066,0.011,0.004
