measured,configuration,feature_wise,feature_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[FILEAGETHRESHOLD, MONITOR, DISKSYNC, CLOCK]",46.86,0.0,48.507,0.578,47.071,49.943,false,1.647,0.034,2.713
"false","[DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",58.32,0.0,74.253,0.843,72.16,76.347,false,15.933,0.215,253.86
"false","[DISKSYNC, JOURNALSERIALIZER]",50.8,0.0,55.357,0.689,53.646,57.068,false,4.557,0.082,20.766
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",54.09,0.0,67.352,0.714,65.578,69.126,false,13.262,0.197,175.881
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",58.32,0.0,74.737,0.546,73.382,76.092,false,16.417,0.22,269.518
"false","[FILEAGETHRESHOLD, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",21.95,0.0,24.323,0.194,23.841,24.805,false,2.373,0.098,5.631
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",17.79,0.0,18.561,0.292,17.836,19.285,false,0.771,0.042,0.594
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER, CLOCK]",9.62,0.0,8.549,0.2,8.053,9.044,false,1.071,0.125,1.147
"false","[FILEAGETHRESHOLD, TRANSIENTMODE]",6.33,0.0,5.844,0.165,5.434,6.254,false,0.486,0.083,0.236
"true","[MONITOR]",13.78,0.0,14.305,0.573,12.882,15.729,true,0.525,0.037,0.276
"false","[TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER]",38.81,0.0,6.04,0.372,5.117,6.963,false,32.77,5.425,1073.873
