measured,configuration,splat,splat_std,brute_force,brute_force_std,absolute error,relative error,squared error
"true","[FILEAGETHRESHOLD, DISKSYNC, FILESIZETHRESHOLD, CLOCK]",52.579,0.0,53.436,0.297,0.857,0.016,0.734
"true","[JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",18.393,0.0,18.583,0.671,0.19,0.01,0.036
"true","[DEEPCOPY, DISKSYNC, JOURNALSERIALIZER]",68.085,0.0,67.415,0.153,0.67,0.01,0.449
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",9.414,0.0,9.489,0.385,0.075,0.008,0.006
"true","[DEEPCOPY, FILEAGETHRESHOLD, FILESIZETHRESHOLD]",23.929,0.0,24.156,0.615,0.227,0.009,0.052
"false","[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.785,0.0,9.369,0.356,0.416,0.044,0.173
"false","[FILEAGETHRESHOLD, MONITOR, CLOCK]",13.629,0.0,14.238,0.305,0.609,0.043,0.371
"false","[DEEPCOPY, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",19.157,0.0,18.656,0.161,0.501,0.027,0.251
"false","[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",9.785,0.0,9.303,0.413,0.482,0.052,0.232
"true","[DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",62.02,0.0,61.129,0.546,0.891,0.015,0.794
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER]",18.589,0.0,18.834,0.563,0.245,0.013,0.06
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",5.725,0.0,5.936,0.108,0.211,0.036,0.045
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER]",6.059,0.0,5.978,0.334,0.081,0.014,0.007
"true","[DISKSYNC, SNAPSHOTSERIALIZER]",47.54,0.0,47.29,0.352,0.25,0.005,0.062
