measured,configuration,brute_force,brute_force_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"true","[FILEAGETHRESHOLD, MONITOR, CLOCK]",14.414,0,14.238,0.373,13.312,15.165,true,0.176,0.012,0.031
"true","[DEEPCOPY, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",19.3,0,18.656,0.197,18.167,19.146,false,0.644,0.035,0.415
"true","[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",9.499,0,9.303,0.505,8.048,10.559,true,0.196,0.021,0.038
"true","[DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",62.02,0,61.129,0.668,59.469,62.789,true,0.891,0.015,0.794
"true","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER]",18.523,0,18.834,0.69,17.121,20.547,true,0.311,0.017,0.097
"true","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",6.319,0,5.936,0.132,5.609,6.264,false,0.383,0.065,0.147
"true","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER]",6.525,0,5.978,0.409,4.962,6.994,true,0.547,0.092,0.299
"true","[DISKSYNC, SNAPSHOTSERIALIZER]",47.54,0,47.29,0.431,46.22,48.36,true,0.25,0.005,0.062
"true","[FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.951,0,9.216,0.361,8.319,10.113,true,0.735,0.08,0.54
"true","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",18.248,0,19.007,0.268,18.343,19.672,false,0.759,0.04,0.576
"true","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",19.039,0,19.324,0.379,18.383,20.264,true,0.285,0.015,0.081
"true","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",9.791,0,9.341,0.357,8.454,10.227,true,0.45,0.048,0.203
"true","[TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",5.863,0,6.264,0.452,5.142,7.386,true,0.401,0.064,0.161
"true","[JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",18.3,0,18.144,0.249,17.526,18.762,true,0.156,0.009,0.024
"true","[TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD]",9.381,0,9.187,0.439,8.096,10.277,true,0.194,0.021,0.038
"true","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",19.142,0,19.032,0.729,17.22,20.843,true,0.11,0.006,0.012
"true","[DEEPCOPY, FILEAGETHRESHOLD, SNAPSHOTSERIALIZER, CLOCK]",18.181,0,18.077,0.262,17.426,18.728,true,0.104,0.006,0.011
"true","[MONITOR, FILESIZETHRESHOLD, CLOCK]",18.572,0,18.667,0.323,17.866,19.468,true,0.095,0.005,0.009
"true","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, CLOCK]",55.203,0,54.665,0.088,54.445,54.884,false,0.538,0.01,0.289
"true","[DEEPCOPY, SNAPSHOTSERIALIZER]",18.083,0,18.396,0.364,17.493,19.299,true,0.313,0.017,0.098
"true","[JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",24.256,0,23.719,0.629,22.156,25.283,true,0.537,0.023,0.288
"true","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.83,0,9.586,0.156,9.198,9.975,true,0.244,0.025,0.06
"true","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.024,0,8.619,0.103,8.364,8.873,false,0.405,0.047,0.164
"true","[DEEPCOPY, FILEAGETHRESHOLD, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",24.786,0,24.803,0.543,23.455,26.151,true,0.017,0.001,0
"true","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",61.119,0,61.595,0.432,60.523,62.667,true,0.476,0.008,0.227
"true","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER]",9.245,0,9.221,0.304,8.467,9.975,true,0.024,0.003,0.001
"true","[DEEPCOPY, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",68.081,0,67.649,0.266,66.987,68.31,true,0.432,0.006,0.187
"true","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",8.204,0,8.607,0.035,8.52,8.693,false,0.403,0.047,0.162
"true","[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER]",55.595,0,55.016,0.517,53.731,56.301,true,0.579,0.011,0.335
"true","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",9.243,0,8.36,0.261,7.712,9.007,false,0.883,0.106,0.78
"true","[DEEPCOPY, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",19.157,0,18.815,0.341,17.967,19.662,true,0.342,0.018,0.117
"true","[DEEPCOPY, SNAPSHOTSERIALIZER, CLOCK]",18.554,0,17.977,0.447,16.866,19.088,true,0.577,0.032,0.333
"true","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER, CLOCK]",9.259,0,9.186,0.262,8.536,9.836,true,0.073,0.008,0.005
"true","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",19.094,0,18.712,0.486,17.503,19.92,true,0.382,0.02,0.146
"true","[DEEPCOPY, TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER]",8.3,0,8.606,0.254,7.974,9.238,true,0.306,0.036,0.094
