measured,configuration,config_crusher,config_crusher_std,brute_force,brute_force_std,absolute error,relative error,squared error
"false","[CHECKSUM, FORCE, BLOCKSIZE, VERBOSE, LEVEL]",60.317,0.0,58.275,0.282,2.042,0.035,4.17
"false","[CHECKSUM, BLOCKSIZE, VERBOSE]",2.15,0.0,0.837,0.009,1.313,1.569,1.724
"false","[CHECKSUM, FORCE, TRANSFORM, VERBOSE, ENTROPY]",2.767,0.0,0.34,0.009,2.427,7.138,5.89
"true","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, ENTROPY]",2.067,0.0,0.811,0.023,1.256,1.549,1.578
"false","[FORCE, TRANSFORM, VERBOSE, ENTROPY]",2.717,0.0,0.249,0.004,2.468,9.912,6.091
"true","[CHECKSUM, ENTROPY]",2.799,0.0,0.286,0.003,2.513,8.787,6.315
"true","[FORCE, BLOCKSIZE, TRANSFORM, ENTROPY]",2.108,0.0,0.744,0.054,1.364,1.833,1.86
"true","[FORCE, LEVEL, ENTROPY]",59.466,0.0,57.497,0.866,1.969,0.034,3.877
"true","[CHECKSUM, FORCE, LEVEL, ENTROPY]",60.513,0.0,58.238,0.24,2.275,0.039,5.176
"true","[ENTROPY]",2.806,0.0,0.238,0.012,2.568,10.79,6.595
"true","[FORCE, TRANSFORM]",2.728,0.0,0.223,0.004,2.505,11.233,6.275
"false","[FORCE, BLOCKSIZE, VERBOSE]",1.963,0.0,0.868,0.05,1.095,1.262,1.199
"true","[BLOCKSIZE, TRANSFORM]",2.036,0.0,0.782,0.017,1.254,1.604,1.573
"true","[BLOCKSIZE, LEVEL, ENTROPY]",59.311,0.0,59.759,0.419,0.448,0.007,0.201
"true","[BLOCKSIZE]",2.097,0.0,0.749,0.009,1.348,1.8,1.817
"false","[TRANSFORM, VERBOSE, LEVEL]",59.811,0.0,58.693,0.293,1.118,0.019,1.25
"false","[FORCE, BLOCKSIZE, VERBOSE, LEVEL, ENTROPY]",59.257,0.0,58.248,0.175,1.009,0.017,1.018
"false","[VERBOSE, LEVEL]",60.942,0.0,58.07,0.109,2.872,0.049,8.248
"false","[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL]",59.655,0.0,59.006,0.935,0.649,0.011,0.421
"true","[BLOCKSIZE, TRANSFORM, LEVEL]",59.841,0.0,58.301,0.469,1.54,0.026,2.372
"false","[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE]",2.037,0.0,0.775,0.035,1.262,1.628,1.593
"true","[CHECKSUM, BLOCKSIZE, ENTROPY]",2.058,0.0,0.793,0.004,1.265,1.595,1.6
"true","[BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",60.196,0.0,58.657,0.606,1.539,0.026,2.369
"false","[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",2.033,0.0,0.829,0.006,1.204,1.452,1.45
"true","[CHECKSUM, FORCE, BLOCKSIZE, LEVEL]",60.317,0.0,58.406,0.318,1.911,0.033,3.652
"false","[FORCE, VERBOSE, ENTROPY]",2.721,0.0,0.276,0.016,2.445,8.859,5.978
"true","[CHECKSUM, FORCE, TRANSFORM, LEVEL]",60.091,0.0,58.152,0.37,1.939,0.033,3.76
"false","[VERBOSE]",2.755,0.0,0.243,0.002,2.512,10.337,6.31
"true","[FORCE, TRANSFORM, LEVEL, ENTROPY]",59.188,0.0,57.594,0.198,1.594,0.028,2.541
"true","[VERBOSE, LEVEL, ENTROPY]",60.741,0.0,58.225,0.524,2.516,0.043,6.33
"true","[CHECKSUM, FORCE, LEVEL]",60.735,0.0,58.293,0.322,2.442,0.042,5.963
