measured,configuration,config_crusher,config_crusher_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",21.347,0.0,18.635,0.366,17.725,19.545,false,2.712,0.146,7.355
"false","[TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, CLOCK]",10.033,0.0,9.582,0.114,9.3,9.864,false,0.451,0.047,0.203
"false","[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC, CLOCK]",55.63,0.0,54.583,0.378,53.645,55.521,false,1.047,0.019,1.096
"false","[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC]",53.047,0.0,54.742,0.064,54.583,54.902,false,1.695,0.031,2.873
"false","[DEEPCOPY, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",19.621,0.0,18.542,0.425,17.485,19.599,false,1.079,0.058,1.164
"false","[MONITOR, JOURNALSERIALIZER]",20.351,0.0,18.789,0.516,17.506,20.072,false,1.562,0.083,2.44
"false","[TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER]",9.797,0.0,9.079,0.119,8.784,9.373,false,0.718,0.079,0.516
"false","[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER]",21.517,0.0,19.067,0.81,17.054,21.08,false,2.45,0.128,6.002
"false","[MONITOR, JOURNALSERIALIZER, CLOCK]",20.587,0.0,18.559,0.088,18.341,18.778,false,2.028,0.109,4.113
"false","[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",10.324,0.0,9.417,0.241,8.817,10.016,false,0.907,0.096,0.823
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",10.272,0.0,9.74,0.183,9.285,10.194,false,0.532,0.055,0.283
"false","[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",35.88,0.0,35.758,0.281,35.061,36.456,true,0.122,0.003,0.015
"false","[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",10.036,0.0,9.4,0.221,8.85,9.949,false,0.636,0.068,0.404
"false","[DEEPCOPY, FILEAGETHRESHOLD, FILESIZETHRESHOLD, CLOCK]",26.151,0.0,25.086,0.603,23.587,26.584,true,1.065,0.042,1.134
"false","[TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",5.937,0.0,5.656,0.08,5.457,5.856,false,0.281,0.05,0.079
"false","[TRANSIENTMODE]",5.984,0.0,6.119,0.243,5.515,6.723,true,0.135,0.022,0.018
"false","[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, FILESIZETHRESHOLD]",10.282,0.0,8.703,0.309,7.937,9.47,false,1.579,0.181,2.493
"false","[DEEPCOPY, FILESIZETHRESHOLD]",23.491,0.0,24.6,0.358,23.71,25.49,false,1.109,0.045,1.23
"false","[TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",10.088,0.0,9.001,0.276,8.316,9.686,false,1.087,0.121,1.182
"false","[FILEAGETHRESHOLD, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",20.306,0.0,18.138,0.295,17.406,18.87,false,2.168,0.12,4.7
"false","[DEEPCOPY, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",19.743,0.0,18.704,0.312,17.929,19.48,false,1.039,0.056,1.08
