measured,configuration,performance,std,minci,maxci
true,"[PLATFORM, POSTCONVERTWEBP, ENABLEPNGCRUSH, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, COMPRESSQUALITY, ROUNDINGHANDLER, HALTONERROR]",102.267,0.729,101.106,103.428
true,"[KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, SKIPUPSCALING, GUIADVANCEDOPTIONS]",3.332,0.013,3.311,3.353
true,"[POSTCONVERTWEBP, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, VERBOSELOG, SCALEMODE, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",8.389,0.044,8.319,8.459
true,"[POSTCONVERTWEBP, ENABLEMOZJPEG, HALTONERROR, GUIADVANCEDOPTIONS, SCALEISHEIGHTDP, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, ENABLEANTIALIASING, SCALEMODE, ROUNDINGHANDLER, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",4.544,0.011,4.527,4.561
true,"[POSTCONVERTWEBP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, SKIPUPSCALING, ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, OUTPUTCOMPRESSIONGMODE, ROUNDINGHANDLER, SCALE, GUIADVANCEDOPTIONS]",20.591,0.201,20.271,20.912
true,"[POSTCONVERTWEBP, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, INCLUDEANDROIDLDPITVDPI, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, VERBOSELOG, ENABLEANTIALIASING, SCALEMODE, ROUNDINGHANDLER, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",8.364,0.023,8.327,8.401
true,"[ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, SCALEISHEIGHTDP, UPSCALINGALGORITHM, INCLUDEANDROIDLDPITVDPI, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, VERBOSELOG, ENABLEANTIALIASING, SCALEMODE, ROUNDINGHANDLER, IOSCREATEIMAGESETFOLDERS]",2.3,0.009,2.285,2.314
true,"[SCALEISHEIGHTDP, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, IOSCREATEIMAGESETFOLDERS]",176.638,0.639,175.621,177.656
true,"[DOWNSCALINGALGORITHM, VERBOSELOG, SCALE, HALTONERROR, IOSCREATEIMAGESETFOLDERS]",4.634,0.014,4.612,4.655
true,"[UPSCALINGALGORITHM, HALTONERROR]",46.861,0.59,45.922,47.8
true,"[ROUNDINGHANDLER, GUIADVANCEDOPTIONS]",56.018,0.204,55.693,56.342
true,"[POSTCONVERTWEBP, UPSCALINGALGORITHM, ENABLEPNGCRUSH, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, SCALE]",12.263,0.037,12.205,12.321
true,"[POSTCONVERTWEBP, ENABLEPNGCRUSH, VERBOSELOG, HALTONERROR]",56.358,0.74,55.181,57.536
true,"[INCLUDEANDROIDLDPITVDPI, DOWNSCALINGALGORITHM, VERBOSELOG, ROUNDINGHANDLER, SCALE, GUIADVANCEDOPTIONS]",5.106,0.016,5.081,5.132
true,"[OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, VERBOSELOG, ENABLEANTIALIASING, SCALE, CLEARDIRBEFORECONVERT]",12.897,0.046,12.824,12.97
true,"[PLATFORM, UPSCALINGALGORITHM, ENABLEPNGCRUSH, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, SCALEMODE, SCALE]",8.047,0.045,7.976,8.119
true,"[SCALEISHEIGHTDP, INCLUDEANDROIDLDPITVDPI, SKIPUPSCALING, ENABLEMOZJPEG, ENABLEANTIALIASING, SCALE, GUIADVANCEDOPTIONS]",9.301,0.07,9.189,9.413
true,"[POSTCONVERTWEBP, ENABLEMOZJPEG, HALTONERROR, GUIADVANCEDOPTIONS, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, SCALEMODE, ROUNDINGHANDLER, IOSCREATEIMAGESETFOLDERS]",3.768,0.017,3.74,3.796
true,"[POSTCONVERTWEBP, SCALEISHEIGHTDP, SKIPUPSCALING, VERBOSELOG, SCALEMODE, HALTONERROR]",2.296,0.019,2.267,2.326
true,"[PLATFORM, SCALEISHEIGHTDP, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, ENABLEANTIALIASING, SCALE, HALTONERROR, IOSCREATEIMAGESETFOLDERS]",41.535,0.489,40.757,42.312
true,"[POSTCONVERTWEBP, SCALE, IOSCREATEIMAGESETFOLDERS]",7.474,0.03,7.426,7.521
true,"[OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, SCALEMODE, SCALE]",5.583,0.043,5.515,5.651
true,"[INCLUDEANDROIDLDPITVDPI, DOWNSCALINGALGORITHM, ROUNDINGHANDLER, GUIADVANCEDOPTIONS]",61.054,0.992,59.475,62.633
