measured,configuration,performance,std,minci,maxci
true,"[ISREGEX, ISTIMEOLDER, ISIGNORECASE, ISTYPEOTHER, ISPRINT0, ISTYPESYMLINK, ISTIMENEWER, ISTYPEFILE]",0.925,0.571,0.016,1.834
true,"[ISREGEX, ISTIMEACCESS, ISTIMEOLDER, ISTIMECREATE, ISTIMEMODIFIED, ISTYPEDIRECTORY, ISTYPESYMLINK, ISTIMENEWER, ISTYPEFILE]",11.962,10.99,-5.525,29.45
true,"[ISTYPEOTHER, ISPRINT0, ISTYPEFILE]",7.496,12.758,-12.805,27.797
true,"[ISTIMEACCESS, ISTIMECREATE, ISPRINT0, ISTIMENEWER, ISTYPEFILE]",8.809,10.115,-7.285,24.904
true,"[ISREGEX, ISTIMEOLDER, ISIGNORECASE, ISTIMECREATE, ISTIMENEWER, ISTYPEFILE]",13.825,10.683,-3.174,30.825
true,"[ISTIMEOLDER, ISTYPEOTHER, ISTYPEDIRECTORY, ISTIMENEWER]",0.568,0.028,0.524,0.613
true,"[ISTIMEOLDER, ISIGNORECASE, ISPRINT0]",8.155,12.623,-11.931,28.241
true,"[ISREGEX, ISIGNORECASE, ISTIMECREATE, ISTIMEMODIFIED, ISTYPEDIRECTORY]",0.631,0.006,0.621,0.641
true,"[ISTIMECREATE, ISTYPEOTHER, ISTIMEMODIFIED, ISTYPEDIRECTORY, ISTYPESYMLINK, ISTIMENEWER]",10.485,12.447,-9.321,30.292
true,"[ISREGEX, ISTIMEACCESS, ISTIMEOLDER, ISIGNORECASE, ISTYPEOTHER, ISTIMENEWER]",4.016,6.614,-6.509,14.541
true,"[ISTIMEACCESS, ISTIMEMODIFIED, ISTIMENEWER, ISTYPEFILE]",7.145,12.949,-13.459,27.75
true,"[ISTIMEACCESS, ISPRINT0, ISTYPEDIRECTORY, ISTIMENEWER]",4.607,6.82,-6.245,15.458
true,"[ISREGEX, ISTIMEACCESS, ISTIMEOLDER, ISTIMECREATE, ISTYPEOTHER, ISTYPESYMLINK]",10.886,12.617,-9.19,30.963
