measured,configuration,pair_wise,pair_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[PLATFORM, POSTCONVERTWEBP, UPSCALINGALGORITHM, ENABLEPNGCRUSH, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, SCALEMODE]",143.68,0.0,5.273,0.008,5.26,5.286,false,139.907,26.533,19573.969
"true","[POSTCONVERTWEBP, HALTONERROR]",57.8,0.0,57.451,0.283,57,57.901,false,1.849,0.032,3.419
"false","[SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, CREATEMIPMAPINSTEADOFDRAWABLEDIR, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, ROUNDINGHANDLER, SCALE, IOSCREATEIMAGESETFOLDERS]",38.42,0.0,18.724,0.174,18.447,19.002,false,21.196,1.132,449.27
"true","[PLATFORM, IOSCREATEIMAGESETFOLDERS]",112.58,0.0,111.536,1.178,109.663,113.41,false,2.544,0.023,6.472
"true","[SCALE, HALTONERROR]",8.59,0.0,8.84,0.077,8.718,8.963,false,1.25,0.141,1.562
"true","[ENABLEPNGCRUSH, CREATEMIPMAPINSTEADOFDRAWABLEDIR]",57.95,0.0,58.139,1.085,56.413,59.865,true,1.311,0.023,1.719
"true","[CLEARDIRBEFORECONVERT, GUIADVANCEDOPTIONS]",57.67,0.0,57.35,0.36,56.777,57.923,false,1.82,0.032,3.312
"false","[POSTCONVERTWEBP, ENABLEMOZJPEG, DOWNSCALINGALGORITHM, SCALEMODE, SCALE]",8.01,0.0,4.552,0.01,4.536,4.568,false,4.958,1.089,24.582
"false","[PLATFORM, POSTCONVERTWEBP, ENABLEPNGCRUSH, DOWNSCALINGALGORITHM, COMPRESSQUALITY, SCALEMODE]",3.85,0.0,7.275,0.026,7.234,7.316,false,1.925,0.265,3.706
"true","[COMPRESSQUALITY, SCALEMODE]",3.75,0.0,3.803,0.022,3.769,3.838,false,1.447,0.38,2.094
"true","[CREATEMIPMAPINSTEADOFDRAWABLEDIR, SCALEMODE]",3.75,0.0,3.798,0.015,3.774,3.821,false,1.452,0.382,2.108
"false","[POSTCONVERTWEBP, SKIPUPSCALING, ENABLEMOZJPEG, SCALEMODE, SCALE]",59.0,0.0,5.484,0.082,5.353,5.615,false,55.016,10.032,3026.76
"false","[CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, VERBOSELOG, SCALEMODE, ROUNDINGHANDLER, IOSCREATEIMAGESETFOLDERS]",0.0,0.0,3.794,0.002,3.791,3.797,false,2.294,0.605,5.262
"true","[POSTCONVERTWEBP, DOWNSCALINGALGORITHM]",59.51,0.0,58.577,0.849,57.227,59.927,false,2.433,0.042,5.919
"false","[SCALEISHEIGHTDP, UPSCALINGALGORITHM, SKIPUPSCALING, ENABLEMOZJPEG, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",20.39,0.0,8.857,0.076,8.736,8.977,false,13.033,1.471,169.859
"false","[UPSCALINGALGORITHM, ENABLEPNGCRUSH, SKIPUPSCALING, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM]",32.43,0.0,9.159,0.096,9.007,9.311,false,24.771,2.705,613.602
"true","[UPSCALINGALGORITHM, IOSCREATEIMAGESETFOLDERS]",47.97,0.0,48.433,0.698,47.323,49.543,true,1.037,0.021,1.075
"false","[POSTCONVERTWEBP, UPSCALINGALGORITHM, ENABLEPNGCRUSH, SKIPUPSCALING, COMPRESSQUALITY, SCALEMODE, SCALE]",81.7,0.0,5.462,0.096,5.31,5.614,false,77.738,14.233,6043.197
"true","[INCLUDEANDROIDLDPITVDPI, ROUNDINGHANDLER]",62.15,0.0,62.844,0.459,62.114,63.574,false,0.806,0.013,0.65
"true","[KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, SCALE]",8.8,0.0,8.851,0.085,8.715,8.987,false,1.449,0.164,2.1
"false","[UPSCALINGALGORITHM, ENABLEMOZJPEG, SCALE]",8.92,0.0,8.98,0.051,8.899,9.062,false,1.44,0.16,2.074
"true","[OUTPUTCOMPRESSIONGMODE, SCALEMODE]",3.76,0.0,3.788,0.009,3.774,3.802,false,1.472,0.389,2.167
"true","[SCALEISHEIGHTDP, HALTONERROR]",57.46,0.0,58.16,0.853,56.803,59.517,true,0.8,0.014,0.64
"true","[ENABLEANTIALIASING, IOSCREATEIMAGESETFOLDERS]",75.57,0.0,75.757,0.638,74.741,76.773,false,1.313,0.017,1.724
"true","[OUTPUTCOMPRESSIONGMODE]",183.4,0.0,182.111,0.744,180.927,183.296,false,2.789,0.015,7.779
"true","[ENABLEANTIALIASING]",75.57,0.0,75.24,0.331,74.714,75.766,false,1.83,0.024,3.349
"false","[SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, SCALE]",0.0,0.0,19.206,0.066,19.101,19.31,false,17.706,0.922,313.502
"true","[SCALEISHEIGHTDP, SKIPUPSCALING]",4.81,0.0,4.818,0.016,4.792,4.844,false,1.492,0.31,2.226
"false","[UPSCALINGALGORITHM, ENABLEPNGCRUSH, SKIPUPSCALING, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, SCALEMODE, SCALE]",0.0,0.0,5.25,0.008,5.237,5.263,false,3.75,0.714,14.062
"false","[PLATFORM, SKIPUPSCALING, COMPRESSQUALITY]",4.8,0.0,8.701,0.072,8.587,8.815,false,2.401,0.276,5.765
"false","[PLATFORM, UPSCALINGALGORITHM, SKIPUPSCALING, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, SCALEMODE, SCALE]",0.0,0.0,14.696,0.111,14.519,14.872,false,13.196,0.898,174.134
"false","[PLATFORM, DOWNSCALINGALGORITHM, COMPRESSQUALITY]",103.53,0.0,104.397,0.778,103.16,105.635,true,0.633,0.006,0.401
"false","[PLATFORM, DOWNSCALINGALGORITHM, SCALEMODE]",6.05,0.0,7.262,0.019,7.232,7.293,false,0.288,0.04,0.083
"true","[ENABLEMOZJPEG, CREATEMIPMAPINSTEADOFDRAWABLEDIR]",58.64,0.0,57.995,1.021,56.371,59.62,false,2.145,0.037,4.601
"false","[POSTCONVERTWEBP, UPSCALINGALGORITHM, ENABLEPNGCRUSH, SKIPUPSCALING, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, SCALEMODE]",0.0,0.0,3.8,0.014,3.777,3.822,false,2.3,0.605,5.29
"false","[UPSCALINGALGORITHM, OUTPUTCOMPRESSIONGMODE, SCALE]",42.16,0.0,19.384,0.115,19.202,19.566,false,24.276,1.252,589.324
"false","[PLATFORM, UPSCALINGALGORITHM, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, ROUNDINGHANDLER, CLEARDIRBEFORECONVERT]",150.18,0.0,25.811,0.056,25.721,25.9,false,125.869,4.877,15843.005
"false","[SCALEISHEIGHTDP, ENABLEPNGCRUSH, SKIPUPSCALING, DOWNSCALINGALGORITHM, SCALEMODE, HALTONERROR]",5.21,0.0,4.554,0.015,4.531,4.578,false,2.156,0.473,4.648
"false","[SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, SCALE]",0.0,0.0,14.038,0.048,13.961,14.115,false,12.538,0.893,157.201
"false","[UPSCALINGALGORITHM, SKIPUPSCALING, DOWNSCALINGALGORITHM, COMPRESSQUALITY, SCALEMODE, SCALE]",82.37,0.0,4.552,0.027,4.51,4.594,false,79.318,17.425,6291.345
"false","[SKIPUPSCALING, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY]",7.49,0.0,8.937,0.029,8.891,8.983,false,0.053,0.006,0.003
"false","[OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, SCALEMODE, GUIADVANCEDOPTIONS]",1.43,0.0,3.796,0.008,3.783,3.808,false,0.866,0.228,0.75
"false","[UPSCALINGALGORITHM, ENABLEPNGCRUSH, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY]",28.18,0.0,8.897,0.055,8.809,8.985,false,20.783,2.336,431.933
"false","[ENABLEMOZJPEG, SCALEMODE, SCALE]",5.58,0.0,5.477,0.07,5.365,5.589,false,1.603,0.293,2.57
"true","[PLATFORM, ENABLEMOZJPEG]",111.34,0.0,111.737,0.227,111.376,112.098,false,1.103,0.01,1.217
"false","[PLATFORM, POSTCONVERTWEBP, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY]",354.07,0.0,354.183,1.894,351.169,357.196,true,1.387,0.004,1.924
"false","[SCALEISHEIGHTDP, INCLUDEANDROIDLDPITVDPI, ENABLEMOZJPEG, DOWNSCALINGALGORITHM, HALTONERROR, CLEARDIRBEFORECONVERT]",68.56,0.0,62.938,0.324,62.423,63.453,false,7.122,0.113,50.723
"false","[COMPRESSQUALITY, VERBOSELOG, GUIADVANCEDOPTIONS]",54.59,0.0,54.272,0.341,53.729,54.815,false,1.818,0.033,3.305
"true","[DOWNSCALINGALGORITHM, COMPRESSQUALITY]",54.25,0.0,54.131,0.617,53.15,55.113,false,1.619,0.03,2.621
"false","[UPSCALINGALGORITHM, ENABLEPNGCRUSH, SCALEMODE, SCALE]",14.98,0.0,5.513,0.092,5.366,5.659,false,10.967,1.989,120.275
"false","[UPSCALINGALGORITHM, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM, COMPRESSQUALITY, SCALEMODE]",24.47,0.0,5.226,0.017,5.199,5.253,false,20.744,3.969,430.314
"false","[UPSCALINGALGORITHM, SKIPUPSCALING, DOWNSCALINGALGORITHM, SCALEMODE]",14.37,0.0,4.558,0.025,4.518,4.598,false,11.312,2.482,127.961
