measured,configuration,feature_wise,feature_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[PLATFORM, UPSCALINGALGORITHM, ENABLEPNGCRUSH, SKIPUPSCALING, DOWNSCALINGALGORITHM, SCALEMODE, SCALE]",0.0,0.0,7.275,0.04,7.212,7.338,false,5.775,0.794,33.351
"false","[POSTCONVERTWEBP, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR]",57.86,0.0,58.003,0.706,56.879,59.126,false,1.357,0.023,1.841
"false","[POSTCONVERTWEBP, SCALEISHEIGHTDP, CREATEMIPMAPINSTEADOFDRAWABLEDIR, ENABLEANTIALIASING]",74.36,0.0,74.993,0.146,74.76,75.226,false,0.867,0.012,0.752
"false","[POSTCONVERTWEBP, ENABLEPNGCRUSH, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, SCALE, IOSCREATEIMAGESETFOLDERS]",133.02,0.0,19.286,0.112,19.107,19.465,false,115.234,5.975,13278.875
"false","[SKIPUPSCALING, DOWNSCALINGALGORITHM, IOSCREATEIMAGESETFOLDERS]",4.39,0.0,4.853,0.011,4.836,4.87,false,1.037,0.214,1.075
"false","[PLATFORM, UPSCALINGALGORITHM, OUTPUTCOMPRESSIONGMODE, SCALEMODE, SCALE]",124.83,0.0,14.576,0.134,14.363,14.789,false,111.754,7.667,12488.957
"false","[PLATFORM, POSTCONVERTWEBP, ENABLEPNGCRUSH, SKIPUPSCALING, COMPRESSQUALITY, SCALEMODE]",1.47,0.0,5.304,0.04,5.24,5.369,false,2.334,0.44,5.448
"false","[PLATFORM, POSTCONVERTWEBP, UPSCALINGALGORITHM, ENABLEPNGCRUSH, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, SCALEMODE]",173.26,0.0,5.273,0.008,5.26,5.286,false,169.487,32.142,28725.843
"false","[POSTCONVERTWEBP, HALTONERROR]",56.61,0.0,57.451,0.283,57,57.901,false,0.659,0.011,0.434
"false","[SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, CREATEMIPMAPINSTEADOFDRAWABLEDIR, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, ROUNDINGHANDLER, SCALE, IOSCREATEIMAGESETFOLDERS]",120.29,0.0,18.724,0.174,18.447,19.002,false,103.066,5.504,10622.6
"false","[PLATFORM, IOSCREATEIMAGESETFOLDERS]",111.83,0.0,111.536,1.178,109.663,113.41,true,1.794,0.016,3.218
"false","[SCALE, HALTONERROR]",7.68,0.0,8.84,0.077,8.718,8.963,false,0.34,0.038,0.116
"false","[ENABLEPNGCRUSH, CREATEMIPMAPINSTEADOFDRAWABLEDIR]",57.29,0.0,58.139,1.085,56.413,59.865,true,0.651,0.011,0.424
"false","[CLEARDIRBEFORECONVERT, GUIADVANCEDOPTIONS]",56.45,0.0,57.35,0.36,56.777,57.923,false,0.6,0.01,0.36
"false","[POSTCONVERTWEBP, ENABLEMOZJPEG, DOWNSCALINGALGORITHM, SCALEMODE, SCALE]",0.0,0.0,4.552,0.01,4.536,4.568,false,3.052,0.67,9.315
"false","[PLATFORM, POSTCONVERTWEBP, ENABLEPNGCRUSH, DOWNSCALINGALGORITHM, COMPRESSQUALITY, SCALEMODE]",54.5,0.0,7.275,0.026,7.234,7.316,false,48.725,6.698,2374.126
"false","[COMPRESSQUALITY, SCALEMODE]",0.09,0.0,3.803,0.022,3.769,3.838,false,2.213,0.582,4.897
"false","[CREATEMIPMAPINSTEADOFDRAWABLEDIR, SCALEMODE]",3.24,0.0,3.798,0.015,3.774,3.821,false,0.942,0.248,0.887
"false","[POSTCONVERTWEBP, SKIPUPSCALING, ENABLEMOZJPEG, SCALEMODE, SCALE]",0.0,0.0,5.484,0.082,5.353,5.615,false,3.984,0.726,15.872
"false","[CREATEMIPMAPINSTEADOFDRAWABLEDIR, HALTONERROR, PLATFORM, SCALEISHEIGHTDP, UPSCALINGALGORITHM, KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, INCLUDEANDROIDLDPITVDPI, SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, VERBOSELOG, SCALEMODE, ROUNDINGHANDLER, IOSCREATEIMAGESETFOLDERS]",124.55,0.0,3.794,0.002,3.791,3.797,false,122.256,32.224,14946.53
"false","[POSTCONVERTWEBP, DOWNSCALINGALGORITHM]",57.86,0.0,58.577,0.849,57.227,59.927,true,0.783,0.013,0.613
"false","[SCALEISHEIGHTDP, UPSCALINGALGORITHM, SKIPUPSCALING, ENABLEMOZJPEG, SCALE, IOSCREATEIMAGESETFOLDERS, CLEARDIRBEFORECONVERT]",0.0,0.0,8.857,0.076,8.736,8.977,false,7.357,0.831,54.125
"false","[UPSCALINGALGORITHM, ENABLEPNGCRUSH, SKIPUPSCALING, ENABLEMOZJPEG, OUTPUTCOMPRESSIONGMODE, DOWNSCALINGALGORITHM]",119.87,0.0,9.159,0.096,9.007,9.311,false,112.211,12.251,12591.309
"false","[UPSCALINGALGORITHM, IOSCREATEIMAGESETFOLDERS]",47.93,0.0,48.433,0.698,47.323,49.543,true,0.997,0.021,0.994
"false","[POSTCONVERTWEBP, UPSCALINGALGORITHM, ENABLEPNGCRUSH, SKIPUPSCALING, COMPRESSQUALITY, SCALEMODE, SCALE]",0.0,0.0,5.462,0.096,5.31,5.614,false,3.962,0.725,15.697
"false","[INCLUDEANDROIDLDPITVDPI, ROUNDINGHANDLER]",64.84,0.0,62.844,0.459,62.114,63.574,false,3.496,0.056,12.222
"false","[KEEPUNOPTIMIZEDFILESPOSTPROCESSOR, SCALE]",8.93,0.0,8.851,0.085,8.715,8.987,false,1.579,0.178,2.493
"false","[UPSCALINGALGORITHM, ENABLEMOZJPEG, SCALE]",0.0,0.0,8.98,0.051,8.899,9.062,false,7.48,0.833,55.95
"false","[OUTPUTCOMPRESSIONGMODE, SCALEMODE]",128.84,0.0,3.788,0.009,3.774,3.802,false,126.552,33.409,16015.409
"false","[SCALEISHEIGHTDP, HALTONERROR]",56.11,0.0,58.16,0.853,56.803,59.517,true,0.55,0.009,0.302
"false","[ENABLEANTIALIASING, IOSCREATEIMAGESETFOLDERS]",74.99,0.0,75.757,0.638,74.741,76.773,true,0.733,0.01,0.537
"true","[OUTPUTCOMPRESSIONGMODE]",182.89,0.0,182.111,0.744,180.927,183.296,false,2.279,0.013,5.194
"true","[ENABLEANTIALIASING]",75.43,0.0,75.24,0.331,74.714,75.766,false,1.69,0.022,2.856
"false","[SKIPUPSCALING, OUTPUTCOMPRESSIONGMODE, COMPRESSQUALITY, SCALE]",77.21,0.0,19.206,0.066,19.101,19.31,false,59.504,3.098,3540.726
