measured,configuration,feature_wise,feature_wise_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"false","[UNIQUE, CHECK, REVERSE, IGNORECASE]",1.56,0.0,1.57,0.002,1.567,1.574,false,0.01,0.006,0
"false","[IGNORELEADINGBLANKS, MERGE, NUMBERICSORT, UNIQUE, REVERSE, GENERALNUMRICSORT]",27.85,0.0,17.693,0.29,17.232,18.154,false,10.157,0.574,103.165
"false","[VERSIONSORT, NUMBERICSORT, UNIQUE, DICTIONARYORDER]",3.6,0.0,30.076,0.185,29.782,30.37,false,26.476,0.88,700.979
"false","[MONTHSORT, VERSIONSORT]",77.78,0.0,74.095,12.473,54.247,93.943,true,3.685,0.05,13.579
"false","[HUMANNUMERICSORT, NUMBERICSORT, REVERSE, GENERALNUMRICSORT]",3.6,0.0,4.833,0.102,4.671,4.994,false,1.233,0.255,1.52
"false","[IGNORELEADINGBLANKS, MONTHSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, IGNORECASE]",0.0,0.0,13.401,0.102,13.239,13.564,false,13.401,1,179.587
"false","[IGNORELEADINGBLANKS, MERGE, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",25.81,0.0,104.037,1.555,101.563,106.511,false,78.227,0.752,6119.464
"false","[MONTHSORT, VERSIONSORT, CHECK, REVERSE, GENERALNUMRICSORT]",1.56,0.0,1.537,0.007,1.526,1.549,false,0.023,0.015,0.001
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",25.81,0.0,104.198,0.393,103.572,104.824,false,78.388,0.752,6144.679
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, DICTIONARYORDER, IGNORECASE]",139.54,0.0,146.136,8.091,133.261,159.011,true,6.596,0.045,43.507
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, IGNORECASE]",102.03,0.0,113.928,0.635,112.918,114.939,false,11.898,0.104,141.562
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,17.223,0.308,16.732,17.713,false,17.223,1,296.632
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,1.537,0.006,1.528,1.546,false,1.537,1,2.362
"false","[MONTHSORT, HUMANNUMERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",1.56,0.0,1.535,0.004,1.528,1.542,false,0.025,0.016,0.001
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, GENERALNUMRICSORT]",139.54,0.0,287.175,2.357,283.425,290.925,false,147.635,0.514,21796.093
"false","[VERSIONSORT, MERGE, DICTIONARYORDER, CHECK, IGNORECASE]",63.32,0.0,149.739,8.787,135.757,163.722,false,86.419,0.577,7468.244
"false","[VERSIONSORT, HUMANNUMERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT]",1.56,0.0,1.537,0.006,1.527,1.547,false,0.023,0.015,0.001
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, NUMBERICSORT, DICTIONARYORDER, REVERSE, IGNORECASE]",0.0,0.0,4.802,0.08,4.675,4.929,false,4.802,1,23.059
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, CHECK, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,13.341,0.467,12.597,14.085,false,13.341,1,177.982
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT]",102.03,0.0,104.161,0.933,102.676,105.645,false,2.131,0.02,4.541
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, CHECK]",63.32,0.0,148.787,6.498,138.447,159.127,false,85.467,0.574,7304.608
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, REVERSE, GENERALNUMRICSORT]",102.03,0.0,104.148,0.847,102.8,105.495,false,2.118,0.02,4.486
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",0.0,0.0,17.393,0.246,17.002,17.785,false,17.393,1,302.516
"false","[MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT]",65.36,0.0,13.198,0.127,12.996,13.401,false,52.162,3.952,2720.874
"false","[IGNORELEADINGBLANKS, REVERSE, GENERALNUMRICSORT, IGNORECASE]",40.27,0.0,103.082,0.905,101.642,104.522,false,62.812,0.609,3945.347
"false","[VERSIONSORT, MERGE, CHECK, GENERALNUMRICSORT, IGNORECASE]",63.32,0.0,284.816,4.927,276.976,292.656,false,221.496,0.778,49060.478
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, REVERSE, GENERALNUMRICSORT]",139.54,0.0,104.21,2.711,99.896,108.524,false,35.33,0.339,1248.209
"false","[VERSIONSORT, REVERSE, GENERALNUMRICSORT]",77.78,0.0,103.646,0.482,102.879,104.414,false,25.866,0.25,669.05
"false","[MONTHSORT, CHECK]",1.56,0.0,1.569,0.004,1.563,1.576,false,0.009,0.006,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, DICTIONARYORDER, REVERSE, IGNORECASE]",40.27,0.0,41.287,0.842,39.947,42.628,true,1.017,0.025,1.034
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, IGNORECASE]",102.03,0.0,113.27,0.554,112.388,114.152,false,11.24,0.099,126.338
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",139.54,0.0,289.897,3.722,283.975,295.819,false,150.357,0.519,22607.227
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, IGNORECASE]",0.0,0.0,13.243,0.272,12.809,13.676,false,13.243,1,175.377
"false","[VERSIONSORT, DICTIONARYORDER, REVERSE]",77.78,0.0,71.167,11.314,53.163,89.17,true,6.613,0.093,43.732
"false","[VERSIONSORT, UNIQUE, GENERALNUMRICSORT]",77.78,0.0,126.949,0.776,125.714,128.184,false,49.169,0.387,2417.591
"true","[HUMANNUMERICSORT]",77.78,0.0,79.528,9.418,64.543,94.514,true,1.748,0.022,3.056
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",65.36,0.0,17.243,0.134,17.03,17.456,false,48.117,2.791,2315.246
"false","[IGNORELEADINGBLANKS, MONTHSORT, MERGE, NUMBERICSORT, REVERSE]",27.85,0.0,17.215,0.408,16.565,17.864,false,10.635,0.618,113.103
"false","[DICTIONARYORDER, GENERALNUMRICSORT]",77.78,0.0,102.091,0.476,101.334,102.848,false,24.311,0.238,591.025
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE, IGNORECASE]",0.0,0.0,17.271,0.137,17.052,17.49,false,17.271,1,298.287
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",0.0,0.0,17.582,0.414,16.924,18.241,false,17.582,1,309.127
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,30.18,0.195,29.871,30.49,false,30.18,1,910.832
"false","[IGNORELEADINGBLANKS, CHECK]",0.0,0.0,1.567,0.005,1.56,1.575,false,1.567,1,2.455
"false","[MERGE, DICTIONARYORDER, CHECK, REVERSE]",63.32,0.0,30.534,3.679,24.68,36.388,false,32.786,1.074,1074.922
"false","[VERSIONSORT, MERGE, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",139.54,0.0,102.549,1.985,99.391,105.708,false,36.991,0.361,1368.334
"false","[MERGE, CHECK, GENERALNUMRICSORT, IGNORECASE]",63.32,0.0,285.437,4.17,278.802,292.073,false,222.117,0.778,49335.962
"false","[MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, IGNORECASE]",65.36,0.0,13.32,0.049,13.242,13.397,false,52.04,3.907,2708.162
"false","[VERSIONSORT, HUMANNUMERICSORT, UNIQUE, DICTIONARYORDER, CHECK, GENERALNUMRICSORT, IGNORECASE]",1.56,0.0,1.537,0.007,1.526,1.548,false,0.023,0.015,0.001
"false","[IGNORELEADINGBLANKS, VERSIONSORT, MERGE, NUMBERICSORT]",27.85,0.0,13.318,0.203,12.995,13.641,false,14.532,1.091,211.179
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,29.559,0.999,27.97,31.148,false,29.559,1,873.734
"false","[MONTHSORT, NUMBERICSORT, UNIQUE, CHECK, GENERALNUMRICSORT]",0.0,0.0,1.531,0.01,1.515,1.547,false,1.531,1,2.344
"false","[MERGE, NUMBERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",0.0,0.0,17.355,0.2,17.036,17.673,false,17.355,1,301.196
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",65.36,0.0,17.412,0.079,17.287,17.537,false,47.948,2.754,2299.011
"false","[IGNORELEADINGBLANKS, VERSIONSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",27.85,0.0,17.366,0.275,16.929,17.803,false,10.484,0.604,109.914
"false","[IGNORELEADINGBLANKS, UNIQUE, REVERSE, GENERALNUMRICSORT]",40.27,0.0,130.805,2.111,127.445,134.165,false,90.535,0.692,8196.586
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, CHECK, REVERSE, IGNORECASE]",63.32,0.0,34.842,2.239,31.279,38.404,false,28.478,0.817,810.996
"false","[IGNORELEADINGBLANKS, MONTHSORT, MERGE, NUMBERICSORT, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,17.245,0.392,16.621,17.869,false,17.245,1,297.39
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, DICTIONARYORDER, CHECK, IGNORECASE]",25.81,0.0,112.512,1.211,110.585,114.438,false,86.702,0.771,7517.237
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, DICTIONARYORDER, GENERALNUMRICSORT]",139.54,0.0,289.052,1.895,286.036,292.067,false,149.512,0.517,22353.838
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, DICTIONARYORDER, GENERALNUMRICSORT]",102.03,0.0,291.353,3.686,285.488,297.219,false,189.323,0.65,35843.198
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK]",0.0,0.0,13.323,0.122,13.129,13.516,false,13.323,1,177.502
"false","[IGNORELEADINGBLANKS, VERSIONSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, IGNORECASE]",0.0,0.0,1.538,0.015,1.514,1.562,false,1.538,1,2.365
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",40.27,0.0,127.103,1.027,125.468,128.738,false,86.833,0.683,7539.97
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",0.0,0.0,1.534,0.011,1.518,1.551,false,1.534,1,2.353
