measured,configuration,config_crusher,config_crusher_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, IGNORECASE]",13.138,0.0,13.243,0.272,12.809,13.676,true,0.105,0.008,0.011
"false","[VERSIONSORT, UNIQUE, GENERALNUMRICSORT]",125.006,0.0,126.949,0.776,125.714,128.184,false,1.943,0.015,3.775
"false","[HUMANNUMERICSORT]",66.513,0.0,79.528,9.418,64.543,94.514,true,13.015,0.164,169.39
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.293,0.0,17.243,0.134,17.03,17.456,true,0.05,0.003,0.003
"false","[DICTIONARYORDER, GENERALNUMRICSORT]",101.205,0.0,102.091,0.476,101.334,102.848,false,0.886,0.009,0.785
"false","[IGNORELEADINGBLANKS, MONTHSORT, MERGE, NUMBERICSORT, REVERSE]",17.034,0.0,17.215,0.408,16.565,17.864,true,0.181,0.011,0.033
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",29.304,0.0,30.18,0.195,29.871,30.49,false,0.876,0.029,0.767
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE, IGNORECASE]",17.393,0.0,17.271,0.137,17.052,17.49,true,0.122,0.007,0.015
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",16.906,0.0,17.582,0.414,16.924,18.241,false,0.676,0.038,0.457
"true","[IGNORELEADINGBLANKS, CHECK]",1.57,0.0,1.567,0.005,1.56,1.575,true,0.003,0.002,0
