measured,configuration,feature_wise,feature_wise_std,brute_force,brute_force_std,brute_force_minci,brute_force_maxci,1withinci,absolute error,relative error,squared error
"false","[IGNORELEADINGBLANKS, MONTHSORT, NUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, GENERALNUMERICSORT]",109.79,0.0,13.45,0,0,0,false,96.34,7.163,9281.396
"false","[IGNORELEADINGBLANKS, VERSIONSORT, MONTHSORT, HUMANNUMERICSORT, NUMERICSORT, MERGE, DICTIONARYORDER, CHECK, GENERALNUMERICSORT]",40.75,0.0,13.238,0,0,0,false,27.512,2.078,756.91
"false","[IGNORELEADINGBLANKS, VERSIONSORT, MONTHSORT, MERGE, UNIQUE]",145.7,0.0,114.905,0,0,0,false,30.795,0.268,948.332
"false","[VERSIONSORT, MONTHSORT, HUMANNUMERICSORT, UNIQUE, GENERALNUMERICSORT, IGNORECASE]",101.86,0.0,125.267,0,0,0,false,23.407,0.187,547.888
"false","[IGNORELEADINGBLANKS, VERSIONSORT, NUMERICSORT, MERGE, DICTIONARYORDER, CHECK, GENERALNUMERICSORT]",40.75,0.0,12.962,0,0,0,false,27.788,2.144,772.173
"false","[VERSIONSORT, MONTHSORT, NUMERICSORT, MERGE, DICTIONARYORDER, CHECK, GENERALNUMERICSORT]",40.75,0.0,13.25,0,0,0,false,27.5,2.075,756.25
"false","[IGNORELEADINGBLANKS, VERSIONSORT, MONTHSORT, NUMERICSORT, MERGE, DICTIONARYORDER, CHECK, IGNORECASE]",9.51,0.0,13.78,0,0,0,false,4.27,0.31,18.233
"false","[IGNORELEADINGBLANKS, MONTHSORT, MERGE, UNIQUE, DICTIONARYORDER, CHECK, REVERSE]",76.66,0.0,21.894,0,0,0,false,54.766,2.501,2999.315
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, NUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, IGNORECASE]",78.55,0.0,13.115,0,0,0,false,65.435,4.989,4281.739
"false","[IGNORELEADINGBLANKS, VERSIONSORT, NUMERICSORT, DICTIONARYORDER, CHECK, REVERSE]",-65.57,0.0,1.547,0,0,0,false,67.117,43.385,4504.692
"false","[IGNORELEADINGBLANKS, MERGE, DICTIONARYORDER, CHECK, REVERSE, IGNORECASE]",76.66,0.0,22.15,0,0,0,false,54.51,2.461,2971.34
"false","[IGNORELEADINGBLANKS, VERSIONSORT, MONTHSORT, MERGE, DICTIONARYORDER, CHECK, REVERSE, IGNORECASE]",76.66,0.0,21.306,0,0,0,false,55.354,2.598,3064.065
"false","[VERSIONSORT, MONTHSORT, MERGE, UNIQUE, REVERSE, IGNORECASE]",145.7,0.0,33.698,0,0,0,false,112.002,3.324,12544.448
