measured,configuration,config_crusher,config_crusher_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, CHECK, GENERALNUMRICSORT, IGNORECASE]",13.279,0.0,13.341,0.467,12.597,14.085,true,0.062,0.005,0.004
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT]",103.632,0.0,104.161,0.933,102.676,105.645,true,0.529,0.005,0.28
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, CHECK]",143.664,0.0,148.787,6.498,138.447,159.127,true,5.123,0.034,26.245
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, REVERSE, GENERALNUMRICSORT]",102.122,0.0,104.148,0.847,102.8,105.495,false,2.026,0.019,4.105
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",17.613,0.0,17.393,0.246,17.002,17.785,true,0.22,0.013,0.048
"false","[MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT]",13.192,0.0,13.198,0.127,12.996,13.401,true,0.006,0,0
"true","[IGNORELEADINGBLANKS, REVERSE, GENERALNUMRICSORT, IGNORECASE]",103.953,0.0,103.082,0.905,101.642,104.522,true,0.871,0.008,0.759
"false","[VERSIONSORT, MERGE, CHECK, GENERALNUMRICSORT, IGNORECASE]",289.537,0.0,284.816,4.927,276.976,292.656,true,4.721,0.017,22.288
"false","[VERSIONSORT, HUMANNUMERICSORT, MERGE, REVERSE, GENERALNUMRICSORT]",103.531,0.0,104.21,2.711,99.896,108.524,true,0.679,0.007,0.461
"false","[VERSIONSORT, REVERSE, GENERALNUMRICSORT]",103.753,0.0,103.646,0.482,102.879,104.414,true,0.107,0.001,0.011
"false","[MONTHSORT, CHECK]",1.559,0.0,1.569,0.004,1.563,1.576,false,0.01,0.006,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, DICTIONARYORDER, REVERSE, IGNORECASE]",41.338,0.0,41.287,0.842,39.947,42.628,true,0.051,0.001,0.003
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, DICTIONARYORDER, IGNORECASE]",111.752,0.0,113.27,0.554,112.388,114.152,false,1.518,0.013,2.304
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",286.622,0.0,289.897,3.722,283.975,295.819,true,3.275,0.011,10.726
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK, IGNORECASE]",13.303,0.0,13.243,0.272,12.809,13.676,true,0.06,0.005,0.004
"false","[VERSIONSORT, DICTIONARYORDER, REVERSE]",74.228,0.0,71.167,11.314,53.163,89.17,true,3.061,0.043,9.37
"false","[VERSIONSORT, UNIQUE, GENERALNUMRICSORT]",125.807,0.0,126.949,0.776,125.714,128.184,true,1.142,0.009,1.304
"false","[HUMANNUMERICSORT]",64.95,0.0,79.528,9.418,64.543,94.514,true,14.578,0.183,212.518
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.349,0.0,17.243,0.134,17.03,17.456,true,0.106,0.006,0.011
"false","[IGNORELEADINGBLANKS, MONTHSORT, MERGE, NUMBERICSORT, REVERSE]",17.103,0.0,17.215,0.408,16.565,17.864,true,0.112,0.007,0.013
"false","[DICTIONARYORDER, GENERALNUMRICSORT]",101.652,0.0,102.091,0.476,101.334,102.848,true,0.439,0.004,0.193
"false","[IGNORELEADINGBLANKS, MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, CHECK, REVERSE, IGNORECASE]",17.393,0.0,17.271,0.137,17.052,17.49,true,0.122,0.007,0.015
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",17.064,0.0,17.582,0.414,16.924,18.241,true,0.518,0.029,0.268
"false","[IGNORELEADINGBLANKS, MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",29.793,0.0,30.18,0.195,29.871,30.49,false,0.387,0.013,0.15
"true","[IGNORELEADINGBLANKS, CHECK]",1.57,0.0,1.567,0.005,1.56,1.575,true,0.003,0.002,0
"false","[MERGE, DICTIONARYORDER, CHECK, REVERSE]",29.229,0.0,30.534,3.679,24.68,36.388,true,1.305,0.043,1.703
"false","[VERSIONSORT, MERGE, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",103.884,0.0,102.549,1.985,99.391,105.708,true,1.335,0.013,1.782
"true","[MERGE, CHECK, GENERALNUMRICSORT, IGNORECASE]",289.537,0.0,285.437,4.17,278.802,292.073,true,4.1,0.014,16.81
"false","[MONTHSORT, VERSIONSORT, MERGE, NUMBERICSORT, DICTIONARYORDER, IGNORECASE]",13.189,0.0,13.32,0.049,13.242,13.397,false,0.131,0.01,0.017
"false","[VERSIONSORT, HUMANNUMERICSORT, UNIQUE, DICTIONARYORDER, CHECK, GENERALNUMRICSORT, IGNORECASE]",1.53,0.0,1.537,0.007,1.526,1.548,true,0.007,0.005,0
"false","[IGNORELEADINGBLANKS, VERSIONSORT, MERGE, NUMBERICSORT]",13.388,0.0,13.318,0.203,12.995,13.641,true,0.07,0.005,0.005
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, NUMBERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",29.793,0.0,29.559,0.999,27.97,31.148,true,0.234,0.008,0.055
"false","[MONTHSORT, NUMBERICSORT, UNIQUE, CHECK, GENERALNUMRICSORT]",1.537,0.0,1.531,0.01,1.515,1.547,true,0.006,0.004,0
"true","[MERGE, NUMBERICSORT, UNIQUE, CHECK, REVERSE, IGNORECASE]",17.613,0.0,17.355,0.2,17.036,17.673,true,0.258,0.015,0.067
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.349,0.0,17.412,0.079,17.287,17.537,true,0.063,0.004,0.004
"false","[IGNORELEADINGBLANKS, VERSIONSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.135,0.0,17.366,0.275,16.929,17.803,true,0.231,0.013,0.053
"true","[IGNORELEADINGBLANKS, UNIQUE, REVERSE, GENERALNUMRICSORT]",130.696,0.0,130.805,2.111,127.445,134.165,true,0.109,0.001,0.012
"false","[MONTHSORT, VERSIONSORT, HUMANNUMERICSORT, MERGE, UNIQUE, CHECK, REVERSE, IGNORECASE]",29.919,0.0,34.842,2.239,31.279,38.404,false,4.923,0.141,24.236
"false","[IGNORELEADINGBLANKS, MONTHSORT, MERGE, NUMBERICSORT, CHECK, REVERSE, GENERALNUMRICSORT, IGNORECASE]",17.327,0.0,17.245,0.392,16.621,17.869,true,0.082,0.005,0.007
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, DICTIONARYORDER, CHECK, IGNORECASE]",112.508,0.0,112.512,1.211,110.585,114.438,true,0.004,0,0
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, DICTIONARYORDER, GENERALNUMRICSORT]",288.625,0.0,289.052,1.895,286.036,292.067,true,0.427,0.001,0.182
"false","[IGNORELEADINGBLANKS, VERSIONSORT, HUMANNUMERICSORT, MERGE, DICTIONARYORDER, GENERALNUMRICSORT]",289.927,0.0,291.353,3.686,285.488,297.219,true,1.426,0.005,2.033
"false","[MONTHSORT, HUMANNUMERICSORT, MERGE, NUMBERICSORT, UNIQUE, DICTIONARYORDER, CHECK]",13.394,0.0,13.323,0.122,13.129,13.516,true,0.071,0.005,0.005
"false","[IGNORELEADINGBLANKS, VERSIONSORT, NUMBERICSORT, DICTIONARYORDER, CHECK, IGNORECASE]",1.54,0.0,1.538,0.015,1.514,1.562,true,0.002,0.001,0
"false","[IGNORELEADINGBLANKS, HUMANNUMERICSORT, UNIQUE, GENERALNUMRICSORT, IGNORECASE]",126.813,0.0,127.103,1.027,125.468,128.738,true,0.29,0.002,0.084
