measured,configuration,performance,std
true,"[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER]",18.87,0.324
true,"[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, SNAPSHOTSERIALIZER, CLOCK]",15.257,0.353
true,"[MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",16.068,0.354
true,"[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, FILESIZETHRESHOLD]",17.777,0.209
true,"[FILEAGETHRESHOLD, TRANSIENTMODE, SNAPSHOTSERIALIZER, CLOCK]",6.35,0.258
true,"[DEEPCOPY, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",56.374,0.7
true,"[TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER, CLOCK]",8.707,0.809
true,"[FILEAGETHRESHOLD, MONITOR, CLOCK]",10.928,0.239
true,"[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",17.398,0.669
true,"[TRANSIENTMODE, MONITOR, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",6.161,0.187
true,"[DEEPCOPY, TRANSIENTMODE, MONITOR, FILESIZETHRESHOLD, CLOCK]",8.046,0.134
true,"[DEEPCOPY, MONITOR, SNAPSHOTSERIALIZER]",14.069,0.563
true,"[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",54.686,0.575
true,"[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, FILESIZETHRESHOLD, CLOCK]",18.518,0.736
true,"[FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, SNAPSHOTSERIALIZER]",5.661,0.255
true,"[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, JOURNALSERIALIZER]",18.804,0.283
true,"[FILEAGETHRESHOLD, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",51.796,1.008
true,"[DEEPCOPY, FILEAGETHRESHOLD, MONITOR, JOURNALSERIALIZER, FILESIZETHRESHOLD]",30.878,0.546
true,"[FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, JOURNALSERIALIZER]",9.106,0.315
true,"[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, CLOCK]",18.764,0.114
true,"[FILEAGETHRESHOLD, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",14.831,0.272
true,"[FILEAGETHRESHOLD, JOURNALSERIALIZER, FILESIZETHRESHOLD]",19.558,0.442
true,"[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER]",49.222,0.382
true,"[MONITOR, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD]",14.605,0.255
true,"[DEEPCOPY, FILEAGETHRESHOLD, DISKSYNC]",51.894,0.741
true,"[DEEPCOPY, TRANSIENTMODE, DISKSYNC, FILESIZETHRESHOLD]",8.127,0.322
true,"[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, FILESIZETHRESHOLD]",8.276,0.256
true,"[JOURNALSERIALIZER, CLOCK]",14.915,0.43
true,"[FILEAGETHRESHOLD, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER, FILESIZETHRESHOLD, CLOCK]",55.795,0.327
true,"[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, JOURNALSERIALIZER, SNAPSHOTSERIALIZER]",18.622,0.204
true,"[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, JOURNALSERIALIZER, CLOCK]",18.626,0.347
true,"[TRANSIENTMODE, JOURNALSERIALIZER]",8.485,0.091
true,"[DEEPCOPY, TRANSIENTMODE, MONITOR, DISKSYNC, FILESIZETHRESHOLD, CLOCK]",8.152,0.276
true,"[FILEAGETHRESHOLD, TRANSIENTMODE, MONITOR, DISKSYNC, SNAPSHOTSERIALIZER, CLOCK]",5.633,0.073
true,"[DEEPCOPY, FILEAGETHRESHOLD, TRANSIENTMODE, DISKSYNC, CLOCK]",8.273,0.205
