measured,configuration,feature_wise,feature_wise_std,brute_force,brute_force_std,absolute error,relative error,squared error
"false","[INVERTMATCH, COUNT, MATCHINGFILES]",3.72,0.0,3.839,0.052,0.119,0.031,0.014
"false","[INVERTMATCH, COUNT]",2.91,0.0,3.819,0.033,0.909,0.238,0.826
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER]",3.79,0.0,3.083,0.017,0.707,0.229,0.5
"false","[FIXEDSTRINGS, WHOLELINE, COUNT, IGNORECASE]",2.98,0.0,3.051,0.028,0.071,0.023,0.005
"false","[INVERTMATCH, WHOLELINE, MATCHINGFILES, IGNORECASE]",3.74,0.0,2.334,0.012,1.406,0.602,1.977
"false","[INVERTMATCH, WHOLELINE, IGNORECASE]",2.93,0.0,2.921,0.025,0.009,0.003,0
"true","[MATCHINGFILES]",3.77,0.0,3.764,0.074,0.006,0.002,0
"false","[FIXEDSTRINGS, WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",3.79,0.0,3.071,0.046,0.719,0.234,0.517

MSE: 30.328
RMSE: 5.507
MAPE: 36.674
