measured,configuration,brute_force,brute_force_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"true","[FIXEDSTRINGS, INVERTMATCH, LINENUMBER, MATCHINGFILES]",2.321,0,2.333,0.016,2.307,2.359,true,0.012,0.005,0
"true","[INVERTMATCH, COUNT, LINENUMBER]",3.811,0,3.85,0.039,3.788,3.911,true,0.039,0.01,0.002
"true","[WHOLELINE, COUNT, LINENUMBER]",3.206,0,3.143,0.028,3.099,3.188,false,0.063,0.02,0.004
"true","[FIXEDSTRINGS, IGNORECASE]",2.97,0,2.926,0.031,2.876,2.976,true,0.044,0.015,0.002
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, MATCHINGFILES]",2.319,0,2.341,0.019,2.311,2.371,true,0.022,0.009,0
"true","[FIXEDSTRINGS, WHOLELINE, LINENUMBER, MATCHINGFILES]",3.016,0,3.056,0.042,2.99,3.122,true,0.04,0.013,0.002
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE]",2.911,0,2.93,0.02,2.898,2.962,true,0.019,0.006,0
"true","[INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES]",3.833,0,3.926,0.081,3.798,4.054,true,0.093,0.024,0.009
"true","[FIXEDSTRINGS, INVERTMATCH, LINENUMBER]",2.882,0,2.925,0.031,2.876,2.974,true,0.043,0.015,0.002
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES]",3.09,0,3.093,0.023,3.057,3.129,true,0.003,0.001,0
"true","[WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",10.844,0,11.718,1.412,9.471,13.966,true,0.874,0.075,0.764
"true","[LINENUMBER, MATCHINGFILES]",3.897,0,3.822,0.033,3.769,3.875,false,0.075,0.02,0.006
"true","[INVERTMATCH, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.318,0,2.348,0.01,2.332,2.365,false,0.03,0.013,0.001
"true","[LINENUMBER]",2.909,0,2.943,0.038,2.883,3.004,true,0.034,0.012,0.001
"true","[WHOLELINE, LINENUMBER, IGNORECASE]",2.915,0,2.909,0.029,2.864,2.955,true,0.006,0.002,0
"true","[WHOLELINE, COUNT]",3.17,0,3.136,0.026,3.095,3.177,true,0.034,0.011,0.001
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",3.109,0,3.104,0.036,3.047,3.161,true,0.005,0.002,0
"true","[COUNT, LINENUMBER, MATCHINGFILES]",3.866,0,3.841,0.019,3.811,3.871,true,0.025,0.007,0.001
"true","[FIXEDSTRINGS, INVERTMATCH, COUNT, MATCHINGFILES, IGNORECASE]",3.908,0,3.905,0.06,3.809,4.001,true,0.003,0.001,0
"true","[FIXEDSTRINGS, INVERTMATCH, COUNT, IGNORECASE]",3.613,0,3.911,0.047,3.837,3.986,false,0.298,0.076,0.089
"true","[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",10.568,0,11.259,1.045,9.595,12.922,true,0.691,0.061,0.477
"true","[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",11.969,0,11.555,0.954,10.037,13.073,true,0.414,0.036,0.171
"true","[FIXEDSTRINGS, MATCHINGFILES, IGNORECASE]",3.526,0,3.792,0.184,3.499,4.084,true,0.266,0.07,0.071
"true","[WHOLELINE, COUNT, MATCHINGFILES]",3.079,0,3.135,0.029,3.089,3.181,false,0.056,0.018,0.003
"true","[INVERTMATCH, COUNT, MATCHINGFILES]",3.803,0,3.891,0.05,3.811,3.97,false,0.088,0.023,0.008
"true","[INVERTMATCH, COUNT]",3.904,0,3.849,0.032,3.798,3.901,false,0.055,0.014,0.003
"true","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER]",3.098,0,3.09,0.021,3.056,3.124,true,0.008,0.003,0
"true","[FIXEDSTRINGS, WHOLELINE, COUNT, IGNORECASE]",3.048,0,3.079,0.033,3.027,3.131,true,0.031,0.01,0.001
"true","[INVERTMATCH, WHOLELINE, MATCHINGFILES, IGNORECASE]",2.319,0,2.335,0.013,2.314,2.355,true,0.016,0.007,0
"true","[INVERTMATCH, WHOLELINE, IGNORECASE]",2.973,0,2.93,0.024,2.893,2.968,false,0.043,0.015,0.002
"true","[MATCHINGFILES]",3.768,0,3.852,0.085,3.716,3.988,true,0.084,0.022,0.007
"true","[FIXEDSTRINGS, WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",3.17,0,3.081,0.037,3.022,3.14,false,0.089,0.029,0.008

Total: 128
MSE: �
RMSE: �
MAPE: �
Measured within ci: 91
Measured outside ci: 37
Predicted within ci: 0
Predicted outside ci: 0
Valid configs: 0.0
