measured,configuration,splat,splat_std,brute_force,brute_force_std,absolute error,relative error,squared error
"true","[FIXEDSTRINGS, MATCHINGFILES, IGNORECASE]",3.854,0.178,3.854,0.178,0,0,0
"false","[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",12.374,0.817,12.449,0.757,0.075,0.006,0.006
"false","[INVERTMATCH, COUNT, MATCHINGFILES]",3.819,0.033,3.839,0.052,0.02,0.005,0
"true","[INVERTMATCH, COUNT]",3.819,0.033,3.819,0.033,0,0,0
"false","[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER]",3.075,0.023,3.083,0.017,0.008,0.003,0
"true","[INVERTMATCH, WHOLELINE, MATCHINGFILES, IGNORECASE]",2.334,0.012,2.334,0.012,0,0,0
"true","[FIXEDSTRINGS, WHOLELINE, COUNT, IGNORECASE]",3.051,0.028,3.051,0.028,0,0,0
"true","[INVERTMATCH, WHOLELINE, IGNORECASE]",2.921,0.025,2.921,0.025,0,0,0
"false","[FIXEDSTRINGS, WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",3.051,0.028,3.071,0.046,0.02,0.007,0
"true","[MATCHINGFILES]",3.764,0.074,3.764,0.074,0,0,0

MSE: 0.554
RMSE: 0.744
MAPE: 2.327
