DUPLICATES,SEQUENTIAL,MAX_MEMORY,ENV_SHARED_CACHE,REPLICATED,ENV_IS_LOCKING,CACHE_MODE,TEMPORARY,JE_FILE_LEVEL,ENV_BACKGROUND_READ_LIMIT,LOCK_DEADLOCK_DETECT,TXN_SERIALIZABLE_ISOLATION,JE_DURABILITY,ADLER32_CHUNK_SIZE,CHECKPOINTER_BYTES_INTERVAL,LOCK_DEADLOCK_DETECT_DELAY,time
1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,5.393
0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,10.506
0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,10.689
1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,7.185
0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,4.801
1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,6.561
0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,11.066
0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,18.96
1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,6.756
0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,10.865
0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,10.453
1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,4.871
0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,11.587
1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,7.677
0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,5.214
1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,14.991
1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,6.559
1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,4.863
1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,21.306
0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,11.783
0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,11.898
1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,7.762
0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,18.729
1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,6.721
